id,name_ar,name_en,images,price_omr,discount_price_omr,short_desc_ar,long_desc_ar,status,options,active
f1,Voidlands Exile Quest Pack,Voidlands Exile Quest Pack,fortnite-pack1.png,3.000,,حزمة حصرية لحسابك,حزمة رقمية خاصة بفورت نايت.,sale,,1
f2,Chill Vibez Pack,Chill Vibez Pack,fortnite-pack2.png,2.000,,باك جديد للحساب,باك رقمي لفورت نايت.,sale,,1
f3,شحن فيبوكس,Fortnite V-Bucks,vbucks-card.png,7.500,,شحن فوري,شحن رقمي لفورت نايت.,new,1000 V-Bucks;7.500|2800 V-Bucks;18.900,1
f4,حزمة كو العربية الحصرية,Exclusive Arabic Bundle,fortnite-pack3.png,3.000,,حزمة خاصة في الحساب,باك حصري ونادر.,sale,,1
